displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
0.50579509,20.526792,20.57463,20.524672,20.65074,20.680227,20.522597,20.48253,20.586847,20.838482,20.5923
0.51282003,20.527091,20.590474,20.536192,20.668786,20.675016,20.517807,20.484156,20.586924,20.821388,20.597337
0.51984496,20.528376,20.606045,20.55758,20.686343,20.659609,20.513055,20.485713,20.586972,20.789113,20.602374
0.52686989,20.529918,20.621605,20.576472,20.703497,20.643258,20.508244,20.487196,20.58704,20.752798,20.607415
0.53389482,20.533028,20.637482,20.588809,20.716453,20.631994,20.502646,20.488381,20.587394,20.705863,20.612463
0.54091975,20.536456,20.65325,20.598097,20.728795,20.622589,20.497437,20.489421,20.587916,20.672852,20.617506
0.54794468,20.54076,20.668718,20.603916,20.73945,20.618285,20.493299,20.490805,20.588901,20.65568,20.622543
0.55496962,20.55054,20.683515,20.609977,20.752015,20.614143,20.48656,20.492242,20.590155,20.648884,20.62758
0.56199455,20.566771,20.697523,20.616162,20.76683,20.610193,20.476757,20.493659,20.591726,20.647435,20.632617
0.56901948,20.587275,20.710788,20.622724,20.778215,20.607324,20.46614,20.495252,20.593636,20.645825,20.637654
0.57604441,20.610068,20.723656,20.629379,20.787763,20.605034,20.455087,20.497376,20.595727,20.644232,20.642691
0.58306934,20.631134,20.736551,20.636615,20.798049,20.606206,20.448914,20.499642,20.598005,20.643602,20.647738
0.59009428,20.651753,20.749476,20.644186,20.808587,20.608073,20.443692,20.502087,20.6003,20.643541,20.652785
0.59711921,20.668947,20.763052,20.652838,20.822251,20.61137,20.439653,20.504736,20.602125,20.645323,20.657822
0.60414414,20.685264,20.776688,20.663145,20.835938,20.615864,20.436146,20.507502,20.604089,20.64855,20.662859
0.61116907,20.698607,20.79053,20.675659,20.849702,20.624417,20.434442,20.510862,20.606524,20.653706,20.667896
0.618194,20.711124,20.802676,20.690892,20.862402,20.636263,20.433198,20.514357,20.609274,20.657633,20.672933
0.62521893,20.722498,20.812478,20.707787,20.873632,20.65266,20.43259,20.518396,20.61246,20.660808,20.67797
0.63224387,20.732727,20.820047,20.729026,20.883542,20.670046,20.432374,20.522511,20.615443,20.664253,20.683014
0.6392688,20.742232,20.826198,20.751253,20.892615,20.688059,20.432407,20.526914,20.618298,20.667755,20.688062
0.64629373,20.750926,20.832279,20.771069,20.903351,20.705591,20.432956,20.53138,20.621153,20.670023,20.693102
0.65331866,20.759423,20.838342,20.790382,20.914493,20.723006,20.433631,20.535939,20.624007,20.672201,20.698139
0.66034359,20.765771,20.85113,20.807642,20.925183,20.740113,20.435023,20.540432,20.626498,20.674016,20.703176
0.66736853,20.771988,20.862562,20.823657,20.935854,20.755243,20.436467,20.544879,20.629142,20.675861,20.708213
0.67439346,20.777675,20.86805,20.83772,20.946454,20.761871,20.438127,20.549292,20.63245,20.677753,20.71325
0.68141839,20.783345,20.873512,20.847099,20.955272,20.768203,20.440203,20.553696,20.635518,20.679651,20.71829
0.68844332,20.788988,20.878934,20.853107,20.961191,20.774056,20.442958,20.558349,20.638196,20.681554,20.723338
0.69546825,20.794567,20.884311,20.858541,20.967605,20.779707,20.44847,20.562889,20.640937,20.683569,20.728381
0.70249319,20.8001,20.889655,20.863808,20.974387,20.785205,20.456038,20.566861,20.643725,20.685615,20.733418
0.70951812,20.805412,20.897657,20.869886,20.982499,20.790264,20.463623,20.570645,20.646471,20.688197,20.738455
0.71654305,20.810656,20.906475,20.876079,20.991018,20.795188,20.471213,20.574097,20.649204,20.6908,20.743492
0.72356798,20.816155,20.919931,20.882729,20.999283,20.799582,20.475796,20.577401,20.651407,20.693422,20.748529
0.73059291,20.821708,20.933021,20.888298,21.007635,20.803921,20.480224,20.580588,20.653635,20.696331,20.753566
0.73761784,20.827505,20.942835,20.891861,21.016542,20.808081,20.484539,20.583477,20.656135,20.699772,20.758614
0.74464278,20.835263,20.951871,20.895459,21.02589,20.812234,20.488571,20.586265,20.658647,20.703615,20.763661
0.75166771,20.846804,20.959406,20.899088,21.036092,20.816372,20.492056,20.587961,20.661181,20.707798,20.768698
0.75869264,20.857039,20.968452,20.904115,21.045242,20.820522,20.49537,20.589572,20.663838,20.711013,20.773735
0.76571757,20.866134,20.978819,20.909647,21.053474,20.824682,20.498534,20.591076,20.666604,20.713879,20.778772
0.7727425,20.874931,20.986769,20.913498,21.057586,20.829934,20.502815,20.592628,20.670262,20.716478,20.783809
0.77976744,20.883617,20.993806,20.917214,21.060142,20.835599,20.507517,20.594276,20.674256,20.7191,20.788846
0.78679237,20.892922,21.001137,20.920921,21.062658,20.847855,20.510645,20.596016,20.678667,20.722054,20.793889
0.7938173,20.902244,21.008629,20.92461,21.065193,20.859744,20.513609,20.597842,20.683125,20.725091,20.798937
0.80084223,20.911262,21.017204,20.928261,21.067926,20.863893,20.516387,20.600279,20.687673,20.728311,20.803977
0.80786716,20.920069,21.024672,20.93307,21.070425,20.868055,20.519167,20.602967,20.692173,20.732376,20.809014
0.81489209,20.928389,21.029585,20.939023,21.072384,20.872249,20.521955,20.605546,20.696566,20.737278,20.814051
0.82191703,20.935621,21.033294,20.948037,21.074068,20.876431,20.525143,20.60816,20.700947,20.744579,20.820376
0.82894196,20.941739,21.035772,20.958393,21.075474,20.880602,20.528739,20.611236,20.705318,20.752933,20.839318
0.83596689,20.946529,21.038311,20.966334,21.076818,20.884728,20.533291,20.614224,20.709027,20.760059,20.855494
0.84299182,20.950711,21.040878,20.973796,21.078135,20.888833,20.538281,20.61699,20.712435,20.766916,20.864721
