displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
1.3979614,28.5939,28.166,26.7636,26.7718
1.4049864,28.6175,28.186,26.7636,26.7792
1.4120113,28.641,28.2059,26.8089,26.7865
1.4190362,28.6645,28.2258,27.0032,26.7939
1.4260612,28.688,28.2457,27.1912,26.8013
1.4330861,28.7115,28.2656,27.2,26.8086
1.440111,28.735,28.2856,27.2089,26.816
1.447136,28.7384,28.3055,27.2177,26.905
1.4541609,28.7384,28.3254,27.2266,27.1556
1.4611858,28.7384,28.3453,27.2354,27.1995
1.4682108,28.7384,28.3652,27.2442,27.2286
1.4752357,28.7555,28.3852,27.2531,27.2349
1.4822606,28.7781,28.4051,27.2619,27.2412
1.4892856,28.8007,28.425,27.2708,27.2475
1.4963105,28.8233,28.4449,27.2796,27.2537
1.5033354,28.8458,28.4648,27.2885,27.26
1.5103603,28.8684,28.4848,27.2973,27.0636
1.5173853,28.891,28.4978,27.3061,26.9997
1.5244102,28.9136,28.5089,27.315,26.9983
1.5314351,28.9361,28.52,27.3238,26.9968
1.5384601,28.9587,28.531,27.3327,26.9954
1.545485,28.9813,28.5421,27.3415,27.0036
1.5525099,29.0039,28.5532,27.3504,27.0164
1.5595349,29.0265,28.5642,27.3592,27.0292
1.5665598,29.049,28.5753,27.368,27.0421
1.5735847,29.0716,28.5864,27.3769,27.0549
1.5806097,29.0942,28.5974,27.3857,27.0677
1.5876346,29.107,28.6085,27.3946,27.0805
1.5946595,29.1198,28.6196,27.4034,27.0934
1.6016845,29.1326,28.6306,27.4123,27.1062
1.6087094,29.1455,28.6417,27.4211,27.119
1.6157343,29.1583,28.6528,27.4299,27.1318
1.6227593,29.1711,28.6638,27.4388,27.1447
1.6297842,29.184,28.6859,27.4476,27.1575
1.6368091,29.1968,28.7128,27.4565,27.1703
1.6438341,29.2096,28.7397,27.4653,27.1741
1.650859,29.2224,28.7665,27.4742,27.1757
1.6578839,29.2353,28.7934,27.483,27.1773
1.6649088,29.2481,28.8203,27.4918,27.179
1.6719338,29.2609,28.8461,27.5007,27.1806
1.6789587,29.2737,28.8588,27.5095,27.1822
1.6859836,29.2866,28.8716,27.5184,27.1838
1.6930086,29.2994,28.8843,27.5272,27.1854
1.7000335,29.3122,28.8971,27.5361,27.187
1.7070584,29.3251,28.9098,27.5449,27.1886
1.7140834,29.3379,28.9225,27.5537,27.1902
1.7211083,29.3507,28.9353,27.5626,27.2039
1.7281332,29.3595,28.948,27.5714,27.2211
1.7351582,29.352,28.9608,27.5803,27.2382
1.7421831,29.1467,28.9696,27.5891,27.2554
1.749208,29.0408,28.9696,27.598,27.2726
1.756233,29.0408,28.9696,27.6068,27.2898
1.7632579,29.0408,28.9696,27.6156,27.3069
